Using A* Search Algorithm on an 8-Puzzle
,# of Cases,,Nodes Generated,,Average Runtime,,
Depth,H1,H2,H1,H2,H1,H2
1,0,0,0,0,0.0,0.0
2,0,0,0,0,0.0,0.0
3,0,0,0,0,0.0,0.0
4,0,0,0,0,0.0,0.0
5,0,0,0,0,0.0,0.0
6,0,0,0,0,0.0,0.0
7,0,0,0,0,0.0,0.0
8,0,0,0,0,0.0,0.0
9,0,0,0,0,0.0,0.0
10,1,1,128,58,212499.0,163737.0
11,1,1,154,50,233544.0,157578.0
12,1,1,199,56,364431.0,203260.0
13,1,1,338,96,867961.0,373670.0
14,0,0,0,0,0.0,0.0
15,0,0,0,0,0.0,0.0
16,7,7,1510,390,1748093.2,588221.7
17,4,4,2356,454,2592589.8,631850.75
18,9,7,3169,509,5204855.0,918848.7
19,8,8,5137,779,7994695.0,1577188.8
20,6,8,8108,1026,9088693.0,1714491.9
21,8,7,12935,1491,2.590479E7,3185284.5
22,12,11,20780,1647,2.9572386E7,2487647.0
23,13,13,29923,3128,3.8500288E7,4588784.5
24,12,11,46627,4051,7.1099848E7,5115280.0
25,6,7,62677,4513,8.6981448E7,5668984.5
26,6,8,100533,6170,1.65588592E8,1.0845145E7
27,3,3,122048,6756,1.7253544E8,8792529.0
28,2,2,172317,11424,2.6399144E8,1.5419775E7
29,0,0,0,0,0.0,0.0
30,0,0,0,0,0.0,0.0
