Using A* Search Algorithm on an 8-Puzzle
,# of Cases,,Nodes Generated,,Average Runtime,,
Depth,H1,H2,H1,H2,H1,H2
1,0,0,0,0,0.0,0.0
2,0,0,0,0,0.0,0.0
3,0,0,0,0,0.0,0.0
4,0,0,0,0,0.0,0.0
5,0,0,0,0,0.0,0.0
6,0,0,0,0,0.0,0.0
7,0,0,0,0,0.0,0.0
8,0,0,0,0,0.0,0.0
9,1,1,59,29,407546.0,308482.0
10,1,1,128,52,317208.0,244835.0
11,0,0,0,0,0.0,0.0
12,0,0,0,0,0.0,0.0
13,0,0,0,0,0.0,0.0
14,4,4,648,175,801234.25,379700.75
15,2,2,879,246,1093548.5,628771.5
16,3,3,1228,211,1630869.6,519783.34
17,2,2,2380,480,2405754.5,730144.0
18,4,4,2661,343,2857828.2,604390.0
19,7,6,5394,706,6986948.0,1321189.0
20,11,11,8512,1117,1.056326E7,1576897.1
21,9,10,12379,1077,1.6252176E7,1721754.8
22,11,10,20783,2143,3.064796E7,2946036.5
23,12,9,30981,2770,4.4984032E7,4404705.5
24,14,15,49633,3752,7.5500656E7,6550545.0
25,13,15,63378,4737,1.037614E8,6747953.5
26,0,0,0,0,0.0,0.0
27,5,6,123344,7437,1.84937424E8,1.0145798E7
28,1,1,199539,10533,3.871392E8,1.5066381E7
29,0,0,0,0,0.0,0.0
30,0,0,0,0,0.0,0.0
